#,Grand Prix,Circuit,Date,lat,long
1,Australia,Melbourne,03 March,-37.8491401,144.9698726
2,Malaysia,Kuala-Lumpur,17 March,2.7597106,101.7371379
3,Brazil,Interlagos,31 March,-23.7032926,-46.696961
4,San Marino,Imola,14 April,44.3398577,11.7133288
5,Spain,Barcelone,28 April,41.5682768,2.2582064
6,Austria,Spielberg,12 May,47.2235862,14.7555404
7,Monaco,Monaco,26 May,43.7380948,7.4260503
8,Canada,Montreal,09 June,45.50589,-73.52411
9,Europe,Nurburgring,23 June,50.3292676,6.942535
10,Britain,Silverstone,07 July,52.07159,-1.01615
11,France,Magny-Cours,21 July,46.8619335,3.1655065
12,Germany,Hockenheim,28 July,49.3308527,8.5790215
13,Hungary,Hungaroring,18 August,47.5817579,19.2507484
14,Belgium,Spa-Francorchamps,01 September,50.4386283,5.9666064
15,Italy,Monza,15 September,45.6184477,9.2876756
16,USA,Indianapolis,29 September,39.7955151,-86.2362663
17,Japan,Suzuka,13 October,34.8431556,136.5266977
